accessibility,accreditation,address,capacity,case_types,city,email,fees,founding_date,hours,id,languages,name,notes,phone,postal_code,referral_contacts,region,regions_served,reviews,source,specialty,staff,type,wait_time,website
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Brussels Bar Association | Compliance Certified,Rue de la Loi 200,accepting_clients,AML compliance | Regulatory audit | Financial law,,compliance@bruscomp.be,"{'consultation': 200, 'initial_contact': 'Gratuit', 'payment_plans': True}",2008,"{'monday_friday': '08:00-18:00', 'saturday': None, 'sunday': None}",LAW039,English | French | Dutch,Brussels Compliance & Regulatory,Financial compliance specialists,+32 2 289 3333,1040,"{'name': 'Financial Regulator Belgium', 'relationship': 'Professional'}",Brussels,Brussels | Belgium | EU,"{'rating': 4.8, 'count': 74, 'source': 'Google'}",Financial Sector Network,Regulatory Compliance | AML/KYC | Financial Regulations,22,firm,1-2 weeks,https://www.bruscomp.be
wheelchair_accessible,Belgian healthcare authority,Rue Royale 200,1200,general_practice | gynecology | mental_health | dental,Bruxelles,info@bhcm.be,free/sliding_scale,2008,"08:00-18:00 Mon-Fri, 10:00-14:00 Sat",bruxhealth_001,nl | fr | en | ar | am | ti | so,Brussels Health Centre for Migrants,Comprehensive health center,+32 (0)2 505 50 50,1000,info@bhcm.be,Bruxelles,Bruxelles,,ngo,primary_healthcare | sexual_health | mental_health,85,healthcare_center,,https://www.bhcm.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Brussels Bar Association | Healthcare Law Certified,Avenue des Arts 56,accepting_clients,Medical malpractice | Regulatory compliance | Pharmaceutical law,,healthcare@brusmed.be,"{'consultation': 190, 'initial_contact': 'Gratuit', 'payment_plans': True}",2009,"{'monday_friday': '08:30-17:30', 'saturday': None, 'sunday': None}",LAW021,English | French | Dutch,Brussels Healthcare & Medical Law,Healthcare sector specialists,+32 2 231 4567,1040,"{'name': 'Hospital Association', 'relationship': 'Partner'}",Brussels,Brussels | Wallonia,"{'rating': 4.6, 'count': 51, 'source': 'Google'}",Medical Association,Medical Law | Healthcare Compliance | Pharma Law,11,firm,2-3 weeks,https://www.brusmed.be
wheelchair_accessible,Belgian NGO sector,Rue du Marché au Charbon 30,800,cultural_programs | community_events | mentorship,Bruxelles,info@bic-brussels.be,free/low_cost,2003,"10:00-19:00 Mon-Fri, 10:00-18:00 Sat-Sun",cult_001,fr | nl | en,Brussels Intercultural Centre,Intercultural community hub,+32 (0)2 512 31 73,1000,info@bic-brussels.be,Bruxelles,Bruxelles,,ngo,cultural_exchange | integration_activities | community_events,42,culture_center,,https://www.bic-brussels.be
wheelchair_accessible,Belgian education ministry,Rue de Flandre 40,2000,dutch_courses | french_courses | cultural_classes,Bruxelles,courses@blcc.be,free/sliding_scale,1994,"09:00-21:00 Mon-Fri, 09:00-17:00 Sat",lang_001,nl | fr | en,Brussels Language and Culture Centre,Language and culture training,+32 (0)2 219 50 50,1000,courses@blcc.be,Bruxelles,Bruxelles,,ngo,language_training | cultural_integration | literacy,112,language_center,,https://www.blcc.be
wheelchair_accessible,Brussels government,Avenue Louise 500,1000,integration_planning | referral_coordination | long_term_support,Bruxelles,info@bric.brussels,free,2010,09:00-17:00 Mon-Fri,reg_int_001,nl | fr | en | ar,Brussels Regional Integration Centre,Regional integration hub,+32 (0)2 540 80 00,1050,info@bric.brussels,Bruxelles,Bruxelles,,official,integration_coordination | settlement_support | pathway_guidance,65,integration_center,,https://www.bric.brussels
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Brussels Bar Association | Tax Specialist Certified,Rue de la Loi 45,accepting_clients,Tax disputes | VAT issues | Transfer pricing,,tax@brusltax.be,"{'consultation': 200, 'initial_contact': 'Gratuit', 'payment_plans': True}",2006,"{'monday_friday': '08:30-18:30', 'saturday': None, 'sunday': None}",LAW019,French | English | Dutch | German,Brussels Tax & Finance Law,EU tax law expertise,+32 2 285 7788,1040,"{'name': 'Belgian Tax Authority', 'relationship': 'Professional'}",Brussels,Brussels | Belgium | EU,"{'rating': 4.7, 'count': 48, 'source': 'Google'}",Tax Professional Network,Tax Law | VAT Compliance | International Tax,19,firm,2 weeks,https://www.brusltax.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Brussels Bar Association,Rue des Colonies 45,accepting_clients,Urban planning | Development permits | Municipal law,,urban@brussurban.be,"{'consultation': 165, 'initial_contact': 'Gratuit', 'payment_plans': True}",2007,"{'monday_friday': '09:00-17:30', 'saturday': None, 'sunday': None}",LAW031,French | English | Dutch,Brussels Urban Development Law,Urban development specialists,+32 2 511 4567,1000,"{'name': 'Brussels Planning Department', 'relationship': 'Professional'}",Brussels,Brussels,"{'rating': 4.5, 'count': 47, 'source': 'Google'}",Municipal Network,Urban Planning | Real Estate Development | Municipal Compliance,9,firm,2-3 weeks,https://www.brussurban.be
partial_accessible,Belgian NGO sector,Rue du Faubourg 69,600,housing_advocacy | community_projects | mediation,Bruxelles,contact@bruxact.be,free,2008,10:00-18:00 Mon-Fri,bruxact_001,fr | nl | en,BruxAct - Action Citoyenne,Civic participation and housing,+32 (0)2 219 68 89,1000,contact@bruxact.be,Bruxelles,Bruxelles,,ngo,civic_participation | housing_support | community_organizing,38,ngo,,https://www.bruxact.be
wheelchair_accessible,Belgian bar association,Rue du Vieux Marché aux Grains 30,2000,asylum_appeal | family_reunification | documentation,Bruxelles,info@cajm.be,free/sliding_scale,1993,09:00-17:00 Mon-Fri,cajm_001,fr | nl | en | ar | am,CAJM - Commission d'Aide Juridique aux Migrants,Specialized legal aid for migrants,+32 (0)2 510 38 05,1000,info@cajm.be,Bruxelles,Bruxelles,,ngo,legal_aid | immigration_law | asylum_representation,95,ngo,,https://www.cajm.be
wheelchair_accessible,Belgian education ministry,Rue Théodore Verhaeghe 10,1500,literacy_training | language_classes | vocational_education,Bruxelles,info@cesp.be,free/sliding_scale,1982,09:00-18:00 Mon-Fri,cesp_001,fr | nl | en | ar,CESP - Centre for Education and Social Policy,Education and social integration,+32 (0)2 539 42 31,1060,info@cesp.be,Bruxelles,Bruxelles,,ngo,education | literacy | skill_development,95,ngo,,https://www.cesp.be
wheelchair_accessible,Belgian federal government,Place de la Gare 3,5000,asylum_application | family_reunification | stateless_persons,Bruxelles,info@cgra.be,free,1952,09:00-17:00 Mon-Fri,cgra_001,nl | fr | en | ar | am | ti,CGRA - Commissariat Général aux Réfugiés et Apatrides,Official asylum processing authority,+32 (0)2 793 89 00,1060,info@cgra.be,Bruxelles,Bruxelles | Flandre | Wallonie,,official,asylum_processing | refugee_status | statelessness_determination,450,government_agency,,https://www.cgra.be
wheelchair_accessible,Belgian NGO sector,Rue du Vieux Marché aux Grains 30,1200,discrimination_cases | advocacy | training,Bruxelles,info@cire.be,free,1995,09:00-17:00 Mon-Fri,cire_001,fr | nl | en,CIRE - Collective Against Racism,Anti-racism and discrimination work,+32 (0)2 217 90 20,1000,info@cire.be,Bruxelles,Bruxelles | Flandre | Wallonie,,ngo,anti_racism | advocacy | education,65,ngo,,https://www.cire.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Brussels Bar Association | ISO 9001,Avenue de la Toison d'Or 45,accepting_clients,Business disputes | Contracts | Company formation,,contact@cabinetbruxelles.be,"{'consultation': 150, 'initial_contact': 'Gratuit', 'payment_plans': True}",2010,"{'monday_friday': '09:00-18:00', 'saturday': None, 'sunday': None}",LAW001,French | English | Dutch,Cabinet Juridique Bruxelles SARL,Full-service firm specializing in corporate law,+32 2 512 3456,1050,"{'name': 'Notaire Paul Dubois', 'relationship': 'Professional network'}",Brussels,Brussels | Wallonia,"{'rating': 4.7, 'count': 42, 'source': 'Google'}",Brussels Legal Directory,Commercial Law | Contract Law | Corporate Law,12,firm,1-2 weeks,https://www.cabinetbruxelles.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Liège Bar Association,Rue Royale 98,accepting_clients,Social security appeals | Disability benefits | Welfare rights,,carole.mathieu@avocats.be,"{'consultation': 90, 'initial_contact': 'Gratuit', 'payment_plans': True}",2013,"{'monday_friday': '09:00-16:30', 'saturday': None, 'sunday': None}",LAW010,French,Carole Mathieu,Advocate for vulnerable populations,+32 4 222 5678,4000,"{'name': 'Liège Social Services', 'relationship': 'Regular referral'}",Wallonia,Wallonia,"{'rating': 4.8, 'count': 64, 'source': 'Avocats.be'}",Social Services Network,Social Security Law | Disability Rights | Welfare Law,1,individual,1 week,
wheelchair_accessible,Walloon regional government,Rue de Montfort 112,600,job_training | language_classes | social_integration,Charleroi,info@cari-charleroi.be,free/sliding_scale,1995,08:30-17:00 Mon-Fri,charleroi_001,fr | nl | en | ar,Centre d'Actions et de Réalisations pour l'Immigrant,Regional integration center Charleroi,+32 (0)71 30 61 72,6000,info@cari-charleroi.be,Wallonie,Wallonie,,ngo,integration | employment_support | language_training,42,ngo,,https://www.cari-charleroi.be
"Wheelchair accessible, Elevator, Accessible restrooms","ISO 17025:2017, Belgian Health Authority",123 Rue de la Paix,45,Age Assessment | Medical Evaluation | Forensic Assessment,Bruxelles,age.determination@mena-brussels.be,Free,2015-03-20,Mon-Fri 08:00-17:00,MED_BXL_001,FR | AR | EN | TR | AM,Centre de Détermination de l'Âge - MENA Brussels,Specialized in adolescent MENA age determination using multi-method approach,+32 2 555 0100,1000,Dr. Philippe Moreau | Dr. Sarah Leblanc,Bruxelles,Bruxelles | Flandre | Wallonie,,Belgian Health Registry,Age Determination (MENA),15 Medical staff | 3 Interpreters | 2 Administrative,Medical Center,,https://mena-brussels.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Charleroi Bar Association,Boulevard Tirou 98,accepting_clients,Factory regulations | Industrial disputes | Manufacturing law,,industrial@charleroi.be,"{'consultation': 140, 'initial_contact': 'Gratuit', 'payment_plans': True}",2009,"{'monday_friday': '08:00-17:00', 'saturday': None, 'sunday': None}",LAW033,French | English,Charleroi Industrial Law Center,Manufacturing sector focus,+32 71 457 6789,6000,"{'name': 'Walloon Industry Federation', 'relationship': 'Partner'}",Wallonia,Wallonia,"{'rating': 4.3, 'count': 29, 'source': 'Google'}",Industry Federation,Industrial Law | Factory Regulations | Manufacturing,5,firm,2 weeks,https://www.charleroi-industrial.be
wheelchair_accessible,Walloon health authority,Rue de Montfort 85,550,medical_consultation | occupational_medicine | preventive_health,Charleroi,medical@charleroi-migrants.be,free,2009,08:30-17:30 Mon-Fri,charleroi_health_001,fr | nl | en,Charleroi Medical Clinic for Migrants,Charleroi health services,+32 (0)71 30 98 98,6000,medical@charleroi-migrants.be,Wallonie,Wallonie,,ngo,general_medicine | occupational_health | health_screening,40,healthcare_center,,https://www.charleroi-migrants.be
Wheelchair accessible,Wallonie Employment Ministry,258 Rue de Marcinelle,40,Skills Training | Job Coaching | Employment Placement,Charleroi,employment@charleroi-skills.be,Free,2013-10-01,Mon-Fri 08:30-17:30,EMPL_CHA_001,FR | NL | AR | EN,Charleroi Skills & Employment Training,Vocational training and employment support for young migrants,+32 71 555 0200,6000,Training Director Michel Vandeput | Job Coach Sophie Laurent,Wallonie,Wallonie,,Charleroi Employment Office,Vocational Training & Job Placement,5 Trainers | 2 Job coaches | 1 Career counselor,Employment Centre,,https://charleroi-skills.be
Accessible,Belgian Social Services,147 Boulevard Tirou,20,Housing Assessment | Integration Planning | Support Services,Charleroi,integration@charleroi-social.be,Free,2015-02-15,Mon-Fri 09:00-17:00,SOC_CHA_001,FR | AR | EN,Charleroi Social Integration & Housing,Focuses on housing and social integration for vulnerable youth,+32 71 555 0100,6000,Director Françoise Martin | Housing Specialist Thierry Gérard,Wallonie,Wallonie,,Charleroi Welfare Office,Social Integration & Housing Assessment,4 Social workers | 1 Housing specialist,Social Assessment Centre,,https://charleroi-social.be
"Playroom, Accessible facilities",Belgian Psychology Association,369 Rue de la Paix,35,Developmental Screening | Behavioral Disorders | Speech/Language,Bruxelles,development@childclinic-bxl.be,Sliding scale,2011-04-20,Mon-Fri 08:00-17:30,PSY_BXL_003,FR | NL | AR | EN | PL,Child & Adolescent Development Clinic,Comprehensive developmental evaluations for children 0-18 years,+32 2 555 0800,1000,Dr. Christophe Legrand | Speech Therapist Anne Leconte,Bruxelles,Bruxelles,,Brussels Child Welfare,Child Development & Behavioral Assessment,4 Developmental specialists | 2 Speech therapists | 3 Psychologists,Psychological Centre,,https://childclinic-bxl.be
wheelchair_accessible,Belgian child protection system,Rue du Marché aux Herbes 110,900,advocacy | legal_support | care_coordination,Bruxelles,info@crcentre.be,free,1998,09:00-17:00 Mon-Fri,child_001,fr | nl | en | ar | am,Children's Rights Centre Brussels,Child rights advocacy,+32 (0)2 203 55 55,1000,info@crcentre.be,Bruxelles,Bruxelles | Flandre,,ngo,child_rights | unaccompanied_minors | family_support,52,ngo,,https://www.crcentre.be
wheelchair_accessible,Walloon NGO sector,Rue de la Cathédrale 12,500,legal_advice | accompaniment | documentation,Liège,contact@cml-liege.be,free,1998,09:00-17:00 Mon-Fri,liege_001,fr | nl | en | ar | am,Collectif Migrants Liège (CML),Regional collective Liège,+32 (0)4 223 74 60,4000,contact@cml-liege.be,Wallonie,Wallonie,,ngo,legal_support | integration | advocacy,35,ngo,,https://www.cml-liege.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Courtrai Bar Association,Groeningelaan 23,accepting_clients,Employment disputes | Contract review | Worker rights,,labor@courtrailaw.be,"{'consultation': 120, 'initial_contact': 'Gratuit', 'payment_plans': True}",2011,"{'monday_friday': '08:30-17:30', 'saturday': None, 'sunday': None}",LAW029,Dutch | French | English,Courtrai Labor Advocates,Worker advocacy specialists,+32 56 222 3333,8500,"{'name': 'Labor Union Federation', 'relationship': 'Partner'}",Flanders,Flanders,"{'rating': 4.4, 'count': 43, 'source': 'Google'}",Labor Union,Labor Law | Employment Contracts | Worker Rights,7,firm,2 weeks,https://www.courtrailaw.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Gent Bar Association,Ottergemsesteenweg 45,accepting_clients,Music licensing | Media rights | Entertainment contracts,,cristina.moretti@avocats.be,"{'consultation': 160, 'initial_contact': '160 EUR', 'payment_plans': True}",2014,"{'monday_friday': '10:00-18:00', 'saturday': None, 'sunday': None}",LAW030,Dutch | English | Italian,Cristina Moretti,Entertainment industry expert,+32 9 225 2121,9000,"{'name': 'SABAM Belgium', 'relationship': 'Professional'}",Flanders,Flanders,"{'rating': 4.6, 'count': 35, 'source': 'Professional Directory'}",Arts Professional Network,Entertainment Law | Media Rights | Licensing,1,individual,2 weeks,https://www.cristinalegal.be
wheelchair_accessible,Belgian federal government,Place de la Gare 3,2000,residence_permit_application | travel_documents | status_change,Bruxelles,info@dgm.be,variable,2011,09:00-17:00 Mon-Fri,dgm_001,nl | fr | en,DGM - General Migration Directorate,Handles immigration documentation and permits,+32 (0)2 793 80 00,1060,info@dgm.be,Bruxelles,Bruxelles | Flandre | Wallonie,,official,documentation | residence_permits | immigration_law,280,government_agency,,https://www.dgm.be
wheelchair_accessible,Belgian dental board,Rue Adolphe Lavalette 5,300,dental_treatment | emergency_care | prevention,Bruxelles,info@dentsolidaire.be,free,2002,09:00-17:00 Mon-Fri,tooth_001,fr | nl | en,Dent Solidaire - Free Dental Clinic,Free dental care for vulnerable,+32 (0)2 414 71 86,1080,info@dentsolidaire.be,Bruxelles,Bruxelles,,ngo,dental_care | emergency_dental | oral_health,18,healthcare_center,,https://www.dentsolidaire.be
wheelchair_accessible,Flemish government,Falconplein 37,800,legal_counseling | job_placement | education_support,Antwerp,info@dva-antwerpen.be,free/sliding_scale,1993,09:00-17:00 Mon-Fri,antwerp_001,nl | fr | en | ar | am,Dienst Vreemdelingen Antwerpen (DVA),Regional service Antwerp,+32 (0)3 213 20 20,2000,info@dva-antwerpen.be,Flandre,Flandre,,ngo,integration | legal_support | employment,58,ngo,,https://www.dva-antwerpen.be
"{'wheelchair': False, 'virtual_consultation': True, 'phone_consultation': True}",Antwerp Bar Association,Meir 89,limited_availability,Bankruptcy | Restructuring | Debt settlement,,dirk@antwerplegal.be,"{'consultation': 130, 'initial_contact': '130 EUR', 'payment_plans': True}",2010,"{'monday_friday': '09:00-17:00', 'saturday': None, 'sunday': None}",LAW012,Dutch | English,Dirk Vandeputte,Specialized in commercial bankruptcy,+32 3 234 7654,2000,"{'name': 'Antwerp Chamber of Commerce', 'relationship': 'Member'}",Flanders,Flanders,"{'rating': 4.4, 'count': 38, 'source': 'Professional Directory'}",Bar Association,Bankruptcy Law | Creditor Rights | Insolvency,2,individual,3 weeks,
fully_accessible,Belgian disability authority,Rue Nouvelle 38,400,disability_assessment | accommodation_arrangements | support_coordination,Bruxelles,services@damss.be,free,2009,09:00-17:00 Mon-Fri,adapt_001,nl | fr | en,Disability and Migrant Support Services,Disability and migration intersection,+32 (0)2 526 35 35,1070,services@damss.be,Bruxelles,Bruxelles,,ngo,disability_support | accessibility_advocacy | care_coordination,35,ngo,,https://www.damss.be
wheelchair_accessible,Belgian research sector,Rue de Flandre 35,400,research_support | information_provision | advocacy,Bruxelles,research@dcr.be,free,2000,10:00-17:00 Mon-Fri,doc_001,fr | en | nl,Documentation Centre on Refugees,Migration research and policy,+32 (0)2 217 98 98,1000,research@dcr.be,Bruxelles,Bruxelles,,ngo,research | information_provision | policy_advocacy,28,ngo,,https://www.dcr.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Brussels Bar Association,Rue de Namur 78,limited_availability,Divorce | Child custody | Succession planning,,marie.dupont@avocats.be,"{'consultation': 120, 'initial_contact': '120 EUR', 'payment_plans': True}",2008,"{'monday_friday': '10:00-17:00', 'saturday': None, 'sunday': None}",LAW002,French | English,Dr. Marie Dupont,"Specialized mediator, high client satisfaction",+32 2 219 8765,1000,"{'name': 'Dr. Jean Moreau', 'relationship': 'Colleague'}",Brussels,Brussels,"{'rating': 4.9, 'count': 58, 'source': 'Avocats.be'}",Bar Association Referral,Family Law | Inheritance | Mediation,1,individual,3-4 weeks,
wheelchair_accessible,Belgian elderly care authority,Avenue Jean Jaurès 30,600,health_monitoring | home_support | social_activities,Bruxelles,care@emcn.be,free/sliding_scale,2008,08:00-17:00 Mon-Fri,elder_001,fr | nl | en | ar,Elderly Migrants Care Network,Senior migrant care,+32 (0)2 539 15 15,1060,care@emcn.be,Bruxelles,Bruxelles,,ngo,elderly_care | health_services | social_engagement,38,ngo,,https://www.emcn.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Brussels Bar Association,Boulevard Saint-Germain 234,accepting_clients,Victim compensation | Criminal victim support | Rehabilitation,,elisabeth.beaumont@avocats.be,"{'consultation': 100, 'initial_contact': 'Gratuit', 'payment_plans': True}",2010,"{'monday_friday': '09:00-17:00', 'saturday': '10:00-12:00', 'sunday': None}",LAW040,French | English | Spanish,Elisabeth Beaumont,Victim rights advocate,+32 2 650 1234,1050,"{'name': 'Victims Support Centre', 'relationship': 'Partner'}",Brussels,Brussels | Belgium,"{'rating': 4.9, 'count': 103, 'source': 'Google'}",Victim Support Centre,Victim Rights | Criminal Victim Support | Rehabilitation,2,individual,1 week,https://www.beaumont-legal.be
Accessible facilities,Wallonie Housing Ministry,147 Rue de Namur,60,Emergency Shelter | Temporary Housing | Transition Support,Mons,emergency@walshelternet.be,Free,2008-09-15,24/7,SHEL_WID_001,FR | NL | AR | EN | TI,Emergency Youth Shelter - Wallonie Network,24/7 emergency shelter for homeless youth with care coordination,+32 65 555 0100,7000,Shelter Manager Michèle Lecroix | Social Worker André Wilmet,Wallonie,Wallonie,,Wallonie Housing Services,Emergency & Temporary Housing,12 Shelter staff | 4 Social workers | 2 Night supervisors,Shelter/Housing Centre,,https://walshelternet.be
wheelchair_accessible,Belgian employment services,Rue de Flandre 30,1500,job_matching | CV_preparation | interview_training,Bruxelles,jobs@ecmbrussels.be,free,2001,08:30-17:00 Mon-Fri,employ_001,nl | fr | en | ar | am,Employment Centre for Migrants Brussels,Employment integration,+32 (0)2 219 19 19,1000,jobs@ecmbrussels.be,Bruxelles,Bruxelles,,ngo,job_placement | skills_training | career_counseling,78,employment_center,,https://www.ecmbrussels.be
wheelchair_accessible,Belgian government,Boulevard Saint-Lazare 40,2200,family_counseling | childcare_support | poverty_alleviation,Bruxelles,info@fesn.be,free,1968,08:30-17:00 Mon-Fri,fesn_001,nl | fr | en,FESN - Federation for Social Action and Solidarity,Large federation of social organizations,+32 (0)2 225 17 42,1210,info@fesn.be,Bruxelles,Bruxelles | Wallonie,,ngo,social_services | family_support | vulnerable_populations,180,ngo,,https://www.fesn.be
